Company,"Parent company

(if known)",Allegation that a company has failed to provide plasma,Allegation that a community is receiving inadequate payments from plasma,Protests,Government interventions,Province,District (kabupaten),Sub-district (kecamatan),"Sub-district (kecamatan) 2

(if more than one listed)","Village 

(if known)",Date of most recent report,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Bumi Sawit Permai,Golden Agri-Resources,Yes,,,,South Sumatra,Ogan Ilir,,,,05/01/2019,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000i20g/ya.lUraBa2FpGy.7MKFf_jiZCxfpEqcVtKJQaHgxLAg,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE,http://web.archive.org/web/20210525124024/https://rspo.org/file/13A%20-%20RSPO%20Notification%20Of%20Proposed%20New%20Planting%20for%20PT%20Bumi%20Sawit%20Permai.pdf,https://www.rspo.org/file/13C(r)%20-%20SEIA%20and%20HCV%20Assessments%20PT%20Bumi%20Sawit%20Permai.pdf,,
Bumipalma Lestari Persada,Golden Agri-Resources,Yes,,Yes,,Riau,Indragiri Hilir,Enok,Keritang,,18/08/2014,https://gagasanriau.com/news/cetak/17628/,https://mutucertification.com/wp-content/uploads/2020/04/RSPO-ASA-1.1-Summary-Report-of-Bumi-Palma-POM-PT-Bumipalma-Lestaripersada-subsidiary-of-GAR.pdf,,,,,
Agrindo Sukses Sejahtera,Agrindo Sukses Sejahtera,,Yes,Yes,,Central Kalimantan,West Kotawaringin,Arut Selatan,,Kotawaringin Lama,13/11/2015,https://askrspo.force.com/Complaint/s/case/50090000028Es11AAC/detail,https://askrspo.force.com/Complaint/s/case/50090000028Es10AAC/detail,,,,,
Agro Artha Surya,Bukit Berlian Group,Yes,Yes,Yes,,South Sumatra,Banyuasin,,,,24/08/2020,https://sriwijayamedia.com/2020/08/25/pemkab-banyuasin-mediasi-kisruh-petani-sawit-dengan-pt-csl/,https://palembang.tribunnews.com/2012/05/09/amiruddin-pt-cls-ingkar-janji,https://archive.netralnews.com/news/nasional/read/205133/dirugikan-hingga-rp143-miliar-petani-plasma-krss-sumsel-datangi-jokowi,https://disnakertrans.banyuasinkab.go.id/2021/03/08/mediasi-pihak-perusahaan-pt-citra-lestari-sawit-dan-pekerja-buruh-pt-cls/,,,
Cipta Agro Nusantara,Astra Agro Lestari,Yes,,,,Central Sulawesi,North Morowali,Lembo,,,23/01/2018,https://www.mongabay.co.id/2018/01/23/sederet-konflik-lahan-perusahaan-sawit-astra-di-sulteng/,https://repository.theprakarsa.org/media/publications/352626-ketimpangan-relasi-petani-inti-plasma-da-dc6ffb62.pdf,,,,,
Cipta Tani Kumai Sejahtera,Medco Agro,Yes,,,Yes,Central Kalimantan,Seruyan,,,"Teluk Bayur, Ranga Batu, Derawan, Durian Kait and Kalang ",04/06/2021,https://www.matakalteng.com/legislatif/dprd-kalimantan-tengah/2021/04/23/600-kk-di-seruyan-tuntut-perusahaan-penuhi-kewajiban,https://beritaseruyan.com/2021/06/04/harus-ada-keputusan-bijak-terkait-tuntutan-warga-lima-desa/,,,,,
Agro Kati Lama,SIPEF,Yes,Yes,Yes,Yes,West Kalimantan,Sintang,Sepauk,,,06/04/2021,https://analisnews.co.id/2021/04/petani-sawit-plasma-di-sepauk-kecewa-tuntut-pt-citra-kalbar-sarana-cks.html,https://senentangnews.com/read/6547/dprd-sintang-panggil-manajemen-pt-jake-dan-pt-cks.html,https://senentangnews.com/read/6189/soal-ratusan-sawit-dibiarkan-membusuk-dishutbun-akan-segera-panggil-pimpinan-pt-cks.html,https://www.suarapemredkalbar.com/berita/sintang/2018/07/23/pt-cks-12-tahun-tak-bagi-kebun-plasma-ke-petani (not found),https://harapanrakyatonline.com/kebun-pt-cks-dipanen-massal-petaninya-aparat-nihil-ada-apa/,,
Cipta Tumbuh Berkembang,CTB Agro,,,Yes,,West Kalimantan,Kubu Raya,Kubu,,Olak-Olak,19/08/2020,https://borneonetv.com/2020/09/14/setda-kabupaten-kubu-raya-pimpin-rapat-mediasi-koperasi-habis-gelap-terbitlah-terang-dengan-pt-cipta-tumbuh-berkembang-dan-pt-sintang-raya/,,,,,,
Agro Masang Perkasa (AMP),Wilmar,Yes,Yes,,Yes,Riau,Indragiri Hilir,,,,24/01/2021,http://web.archive.org/web/20211101145840/https://gagasanriau.com/news/detail/44363/perusahaan-ingkar-janji-tak-bayarkan-bagi-hasil-kebun-plasma,,,,,,
Agro Mitra Rokan,Unknown,,Yes,Yes,Yes,North Kalimantan,Bulungan,Tanjung Palas Utara,,"Karang Agung, Panca Agung",04/07/2021,https://korankaltara.com/restrukturisasi-kredit-hingga-2025-pinjaman-tak-bertambah/,https://korankaltara.com/pemkab-dan-pemprov-diminta-turun-tangan/,https://borneoindonesia.com/berita-utama/pt-csl-dituntut-tunjukkan-bukti-fisik-500-hektar-kebun-plasma/,,,,
Agro Nusa Abadi,Astra Agro Lestari,,Yes,,,South-east Sulawesi,Konawe Utara,Langgikima,,,08/02/2021,https://kendaripos.co.id/2021/02/bagi-hasil-tak-sesuai-petani-sawit-merugi/,https://kendaripos.co.id/2020/08/aktivitas-perusahaan-sawit-di-konut-disorot/,https://detiksultra.com/berita-daerah-sulawesi-tenggara/konawe-utara/geruduk-kantor-dprd-konut-fml-minta-pt-djl-kembalikan-sertifikat-masyarakat/,https://web.archive.org/web/20210525111307/https://www.riauterkini.com/hukum.php?arr=57299,https://issuu.com/kendarinews/docs/kendari_pos_edisi_10_april_2012,https://issuu.com/kendarinews/docs/kendari_pos_edisi_31_agustus_2012,
Citra Riau Sarana,Team Ventures Investments Ltd,,Yes,Yes,,Riau,Kuantan Singingi,Logas Tanah Darat,,,02/11/2021,https://www.goriau.com/berita/baca/akhirnya-pt-crs-bayarkan-shu-oktober-ke-kud-langgeng.html,https://gagasanriau.com/news/detail/41988/pt-crs-sejak-2004-tak-pernah-bagikan-keuntungan-masyarakat-tutup-akses-jalan,https://www.goriau.com/berita/baca/kud-langgeng-sayangkan-pt-crs-yang-mangkir-pada-sidang-perdana.html,https://www.goriau.com/berita/baca/jika-sertifikat-kebun-plasma-tak-diurus-kud-langgeng-akan-gugat-pt-crs.html,https://harianriau.co/news/detail/57566/kud-langgeng-tuntut-pt-crs-selesaikan-sertifikat-kebun-plasma,https://www.hariantimes.com/read-8757-2021-11-15-jika-pt-crs-tak-ada-itikad-baik-kud-langgeng-akan-jual-buah-sawit-ke-pabrik-lain.html,
Dapo Agro Makmur,Oriental Holdings Berhad,,,Yes,,South Sumatra,Musi Rawas,Bulang Tengah Suku Ulu,,Desa Pangkalan Tarum,05/01/2019,http://web.archive.org/web/20200918095037/https://mutiaraindotv.com/diduga-kurangnya-perawatan-oleh-pt-dam-warga-masyarakat-klaim-lahan-plasma/,,,,,,
Darmex Plantation,Darmex Agro,Yes,,Yes,,West Kalimantan,Bengkayang,Lembah Bawang,,Kinande,01/03/2017,https://kalbar.antaranews.com/berita/326632/warga-protes-tudingan-pencurian-sawit-di-pt-darmex,https://mapofborneo.wordpress.com/2012/09/27/warga-kinande-amankan-dumptruck-pt-darmex-agro-mandiri/,https://jurnal.untan.ac.id/index.php/jmfh/article/view/23081/0,,,,
Daya Labuhan Indah,Wilmar,Yes,,Yes,,North Sumatra,Labuhan Batu,,,,11/11/2018,https://utamanews.com/ragam/Diduga-Wilmar-Grup-PT-DLI-Negeri-Lama-Salurkan-Program-CSR-Tidak-Tepat-Sasaran,http://asahan.bentengtimes.com/labuhanbatu-raya/2018/11/11/1781/penyaluran-csr-wilmar-grup-harus-libatkan-pemkab-labuhanbatu-bukan-oknum-kontraktor/,https://rspo.org/uploads/default/pnc/PT_Daya_Labuhan_Indah_RSPO_ASA02_Summary_Report_Wilmar_Int_Ltd.pdf,,,,
Dendymarker Indahlestari,SIPEF,Yes,,Yes,,South Sumatra,North Musi Rawas,Karang Dapo,,Karang Dapo,14/06/2021,https://www.marketscreener.com/quote/stock/SIPEF-6176/news/SIPEF-Press-release-regarding-the-completion-of-the-PT-Dendy-Marker-acquisition-24859639/,https://palembang.tribunnews.com/2021/06/14/warga-tuntut-pt-dml-tambah-lahan-plasma-sawit-realisasi-seluas-430-hektar-masih-kurang,https://www.youtube.com/watch?v=5Z1HNt-Kvwk,,,,
Desaria Plantation Mining,Unknown,Yes,,Yes,,Bengkulu,Kaur,Padang Guci Hulu,,Bungin Tambun I,28/11/2018,https://bengkuluekspress.com/pt-dpm-janji-bayar/,http://metroterkini.com/news/detail/42199/hukrim/Bengkulu/konflik-lahan-plasma-kantor-pt-dpm-disegel-masyarakat,http://www.walhibengkulu.org/2010/04/press-realease-walhi-menolak-rencana.html,,,,
Dinamika Inti Sentosa,Pasifik Agro Sentosa,Yes,,Yes,,North Sumatra,Mandailing Natal,Natal,,,03/04/2017,http://web.archive.org/web/20170919140918/https://startfmmadina.com/ketua-komisi-a-dprd-su-fernando-simanjuntak-izin-pt-rmm-dan-pt-dis-bisa-di-cabut-apabila-plasma-tidak-diserahkan/,,,,,,
Dua Perkasa Lestari,Atmaja Makmur Gemilang Group,Yes,,Yes,,Aceh,West Aceh,Babah Rot,,Rukoen Damee,27/02/2018,https://aceh.tribunnews.com/2018/02/24/petani-segera-ambil-alih-kebun-plasma,https://aceh.tribunnews.com/2018/02/27/tuntut-kejelasan-kebun-plasma-ratusan-petani-turun-ke-lokasi-pt-dua-perkasa-lestari,https://aceh.tribunnews.com/2018/02/27/tuntut-kejelasan-kebun-plasma-ratusan-petani-turun-ke-lokasi-pt-dua-perkasa-lestari,https://goldenagri.com.sg/sustainability-dashboard/files/file_docs/FCKsSverification_visit_re_grievance_submitted_by_rainforest_action_network_ran_against_pt_dua_perkasa_lestari_pt_dpl_in_aceh.pdf,,,
Duta Palma Nusantara,Darmex Agro,Yes,,Yes,,Riau,Kuantan Singingi,,,,14/07/2020,https://web.archive.org/web/20200811162124/http://www.kuansingkita.com/2020/07/14/lamr-kuantan-singingi-bakal-gugat-perpanjangan-hgu-pt-duta-palma-nusantara-ke-ptun/,,,,,,
Agronusa Investama 2,Wilmar,Yes,,,,West Kalimantan,Sintang,Ketungau Hilir,,Setungkup Village,07/07/2020,https://kumparan.com/hipontianak/anggota-dprd-kalbar-soroti-perusahaan-sawit-di-desa-setungkup-sintang-1tl3BQYAXGy/full,http://www.lintaskalbar.com/2020/07/07/keluhan-masyarakat-kepada-perusahaan-sawit-anggota-dprd-provinsi-kalbar-angkat-bicara/,,,,,
Eka Dura Indonesia,Astra Agro Lestari,,Yes,Yes,,Riau,Rokan Hulu,Kunto Darussalam,,,08/07/2018,https://pekanbaru.tribunnews.com/2018/08/07/lkm-minta-astra-ikut-selesaikan-konflik-lahan-dengan-mitra-pt-edi,http://scholar.unand.ac.id/32509/,https://riauheadline.com/Hukrim/Warga-Desak-Pemkab-Rohul-Proaktif-Carikan-Solusi,https://web.archive.org/web/20210525123134/https://riauterkini.com/hukum.php?arr=43576,http://www.halloriau.com/read-otonomi-10855-2011-05-22-pt-aal-membangun-sawit-membangun-negeri.html,"https://www.riauterkini.com/sosial.php?arr=149481&judul=Cegah-Corona,-Relawan-Covid---19-Talang-Mandi-Lakukan-Penyemprotan-Disinfektan",https://www.riauterkini.com/hukum.php?arr=43576
Empat Lawang Agro Perkasa,Anglo Eastern,Yes,,Yes,,South Sumatra,Empat Lawang,,,,20/11/2021,https://86news.co/2021/11/20/masyarakat-air-deras-pertanyakan-hak-mereka-yang-dijanjikan-pt-elap-kkst/,https://palembang.tribunnews.com/2011/09/29/budi-akui-permintaan-25-persen-lahan-untuk-masyarakat,,,,,
Erasakti Wira Forestama,Kurnia Tunggal Nugraha (KTN),Yes,,,,Jambi,East Tanjung Jabung,Mendahara,,Merbau,31/08/2020,https://www.mongabay.co.id/2020/08/31/nasib-warga-merbau-dan-rukam-yang-hidup-di-sekitar-kebun-sawit-perusahaan/,,,,,,
Fairco Agro Mandiri,Fairco Group,Yes,,Yes,,East Kalimantan,East Kutai,Kaubun,,Cipta Graha,10/02/2020,https://dprd-kaltimprov.go.id/read/news/2012/563/bahrid-buseng-dukung-mereka-gugat-pt-fairco-agro-mandiri.html (inactive),https://kecamatankaubun.wordpress.com/2012/04/28/komisi-i-dan-ii-dprd-kaltim-siap-fasilitasi-petani-bakuda/amp/,https://republika.co.id/berita/n4rubs/Antara,https://putusan3.mahkamahagung.go.id/direktori/putusan/849933bdf6f10e1ca7fd9dd6e11380fb.html,https://www.hariantimes.com/read-8757-2021-11-15-jika-pt-crs-tak-ada-itikad-baik-kud-langgeng-akan-jual-buah-sawit-ke-pabrik-lain.html,,
Fajar Baizuri & Brothers,Fajar Baizury & Brothers,Yes,,Yes,,Aceh,Nagan Raya,Kuala Pesisir,Tadu Raya,"Cot Mee
Cot Rambong",15/09/2018,https://www.goaceh.co/berita/baca/2017/02/27/warga-nagan-raya-gelar-aksi-protes-terkait-sengketa-lahan,http://jim.unsyiah.ac.id/FISIP/article/view/6383,https://www.mimbarmedia.com/2018/09/15/rawa-tripa-institute-mempertanyakan-csr-industri-perkebuna-sawit-di-nagan/,https://buanaindonesia.co.id/aceh/sengketa-lahan-pt-fajar-baizury-brothers-dengan-masyarakat-cot-mee/,,,
Fangiono Agro Plantation,Fangiono Agro Plantation,Yes,,,,West Kalimantan,Ketapang,Jelai Hulu,,Air Dua,08/08/2018,https://delikkalbar.com/2018/08/08/tuntut-plasma-puluhan-warga-ketapanggeruduk-dprd-ketapang/,http://kalbar.antaranews.com/berita/330159/pt-fap-bantah-ribut-dengan-warga-ketapang,,,,,
Agrokarya Primalestari,Golden Agri-Resources,Yes,,Yes,,East Kalimantan,West Kutai,Bongan,,,12/10/2021,http://kaltim.prokal.co/read/news/14004-warga-gusik-segel-kantor-pt-farinda-bersaudara,http://kabarkubar.com/dimediasi-disnaker-kubar-farinda-bayar-rp-3-miliar/,http://faturmkd.blogspot.com/2013/03/warga-muara-gusik-segel-kantor-pt.html,https://rri.co.id/samarinda/786-ekonomi/1222005/perusahaan-sawit-yang-tidak-bangun-plasma-selama-3-tahun-bisa-dicabut-izinnya-ini-aturan-baru-2021,,,
Agrolestari Mandiri,Golden Agri-Resources,Yes,Yes,Yes,,South Sumatra,Empat Lawang,Ulu Musi,,Muara Kalangan,07/07/2020,https://web.archive.org/web/20210227084811/https://www.hariansilampari.co.id/akses-ke-pt-galempa-diblokir-warga/,,,,,,
Agrolestari Sentosa,Golden Agri-Resources,,Yes,,,Central Kalimantan,Lamandau,,,,25/10/2021,https://www.borneonews.co.id/berita/114151-pt-gemareksa-pembayaran-tunggakan-shp-tunggu-keputusan-pimpinan-di-malaysia,https://www.antaranews.com/berita/788309/bupati-lamandau-surati-dubes-malaysia-terkait-tunggakan-koperasi,https://www.tabengan.com/bacaberita/20787/dua-perusahaan-bumn-malaysia-nunggak-shp/,https://archive.aman.or.id/2013/11/masyarakat-adat-lamadau-minta-pt-gama-reksa-ditutup/,https://mediapurnapolri.net/2019/12/05/pt-gemareksa-mekarsari-program-csr-perbaiki-jalan-desa-bukit-indah/,https://kaltengonline.com/2022/12/08/mediasi-konflik-pt-gamareksa-makarsari-dengan-warga-hasilkan-lima-poin/,
Gemilang Sejahtera Abadi,Teladan Prima Group,,Yes,Yes,,East Kalimantan,East Kutai,Batu Ampar,,,02/10/2021,https://republika.co.id/berita/nasional/nusantara-nasional/12/09/18/maioun-warga-batu-ampar-tuntut-perusahaan-perkebunan-ganti-rugi,https://berita3.net/masyarakat-desa-tanah-abang-gelar-aksi-datangi-pt-gemilang-sejahtera-abadi-gsa/,https://hariankutim.com/ratusan-masyarakat-long-mesangat-tuntut-pt-gsa-berikan-hak-plasma-20/,,,,
Gersindo Minang Plantation,Wilmar,Yes,,Yes,,West Sumatra,West Pasaman,Pasaman,,,04/11/2019,https://regional.kompas.com/read/2011/12/17/01404492/wcc.temukan.84.kasus.kekerasan.terhadap.perempuan,https://sumbar.antaranews.com/berita/104924/masyarakat-maligi-pasaman-barat-ambil-alih-lahan-plasma,https://pasamanbarat.wordpress.com/2012/02/15/pt-gmp-berikan-200-ha-lahan-pada-masyarakat/,https://www.forestpeoples.org/index.php/en/palm-oil-rspo/press-release/2019/press-release-report-shows-widespread-human-rights-violations,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/wilmar-ef-1st-phase-of-community-project-in-pasaman-barat.pdf?sfvrsn=36e0ad6c_2,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/wilmar-ef-1st-phase-of-community-project-in-pasaman-barat.pdf?sfvrsn=36e0ad6c_2,https://www.gatra.com/detail/news/495766/info-sawit/ulah-botl-penetapan-harga-tbs-di-sumbar-gaduh
Globalindo Agung Lestari,Genting,,,Yes,,Central Kalimantan,Kapuas,Kapuas Murung,Dusun Hilir,"Sriwidadi, Dadahup, Lamunti, Manyahi",01/01/2018,https://www.kapuas.info/2013/12/kisruh-bagi-hasil-plasma-pt-globalindo.html,https://www.aliansiindonesia.net/baca/id/pt-globalindo-agung-lestari-kalteng-rampok-hak-masyarakat-eks-transmigran,https://www.rspo.org/file/NPP%20Planning%20and%20Management%20of%20PT%20GAL%20V1(1).pdf,https://pusaka.or.id/assets//2018/12/Laporan-Investigasi-Kasus-Genting-Hulu-Kapuas-Pusaka-Des-2018.pdf,koranlensapos.com/2017/11/ditaksir-400-milyar-pt-gal-kapuas.html,https://www.kapuas.info/2013/12/kisruh-bagi-hasil-plasma-pt-globalindo.html,https://www.aliansinews.id/baca/id/pt-globalindo-agung-lestari-kalteng-rampok-hak-masyarakat-eks-transmigran
Andalas Wahana Berjaya,TSH Resources Berhad,,Yes,Yes,,South Sumatra,Penukal Abab Lematang Ilir,Penukal,,Perambatan,05/08/2019,http://haluansumatera.com/warga-prambatan-demo-ke-dprd-pali-protes-pembagian-plasma/,https://news.detik.com/berita/d-1654437/tagih-janji-plasma-warga-muaraenim-rusak-mobil-perusahaan,https://www.jurnalfai-uikabogor.org/index.php/mizan/article/view/431,https://www.idnfinancials.com/archive/id/27429/subsidiaries-gozco-plantation-sell-stock-golden-blossom,https://www.jurnalfai-uikabogor.org/index.php/mizan/article/view/431,,
Antang Ganda Utama,Matahari Kahuripan Indonesia,,Yes,Yes,,East Kalimantan,East Kutai,Kaliorang,,Rapak Bumi Jaya,07/04/2017,https://samarinda.prokal.co/read/news/2910-petani-jual-lahan-ke-wabup.html,https://www.suarakapuasraya.com/pemkab-melawi-belum-dapat-info-terkait-pt-rka-take-over/,http://indcyber.com/2017/10/21/tuntutan-untuk-management-pt-gunta-samba/,https://kaltimtoday.co/dprd-kutim-adakan-rdp-empat-koperasi-tuntut-shu-terhadap-perusahaan-pt-gunta-samba/,,,
Gunung Mas Raya,Indofood Agri Resources,,Yes,Yes,,Riau,Rokan Hilir,Balai Jaya,Bagan Sinembah,,07/11/2019,https://www.lintas10.com/tindak-lanjut-terbitnya-sk-menteri-koperasi-sinembah-jaya-abadi-gelar-rapat-dengan-masyarakat-5-desa.html,https://riauaktual.com/mobile/detailberita/41137/melalui-mediasi-bap-dpd-ri--tuntutan-masyarakat-empat-persukuan-rohil-temuai-titik-terang.html,https://kaltengtoday.com/soal-plasma-perkebunan-sawit-ini-kata-ketua-dprd-gunung-mas/,,,,
Anugerah Abadi Multi Usaha,Unknown,Yes,,Yes,,South Sumatra,Musi Rawas,Tiang Pumpung Kepungut,,Muara Kati,20/05/2021,https://web.archive.org/web/20210527082149/https://www.tribunpos.com/sumatera-selatan/kud-martiban-menuntut-hak-plasma-ke-pt-gssl,https://web.archive.org/web/20210527082305/https://www.hariansilampari.co.id/humas-koperasi-martiban-tidak-ada-hubungan-kemitraan-koperasi-martiban-dengan-perusahan-sawit-pt-gssl/,https://web.archive.org/web/20210527083304/http://www.kabarretorika.com/buka-lahan-sawit-1900-hektar-ini-janji-pt-gssl/,https://web.archive.org/web/20210527083221/https://targetkasusnews.co.id/ratusan-anggota-plasma-tuntut-ptgsll/,,,
Gunung Sejahtera Ibu Pertiwi,Astra Agro Lestari,,Yes,Yes,,Central Kalimantan,West Kotawaringin,Pangkalan Lada,,Pandu Senjaya,18/07/2018,https://drive.google.com/file/d/1delJ-zDPuGuV83fgtwG-uitObaVHWLqe/view?usp=sharing,,,,,,
Guthrie Pecconina Indonesia,Sime Darby,Yes,,Yes,,South Sumatra,Musi Banyuasin,Lawang Wetan,Babat Toman,,11/03/2020,https://sumeks.co/dprd-muba-gelar-rdp-terkait-penyelesaian-plasma/,http://sriwijayaonline.com/70630-komisi-ii-dprd-muba-beri-waktu-satu-minggu-untuk-pt-gpi-berkoordinasi-dengan-eksekutif.html,https://sumselupdate.com/sengketa-lahan-petugas-keamanan-pt-gpi-bentrok-dengan-warga-3-orang-tewas/,https://hariannkri.id/3417/akses-jalan-pt-guthtrie-picconina-indonesia/,,,
Anugerah Agung Prima Abadi,Union Sampoerna Triputra Persada,Yes,,,,South Sumatra,Banyuasin,Pulau Rimau,,Tabuan Asri,11/10/2021,https://wahanainformasinews.or.id/2021/08/16/pt-cls-dan-pt-huk-diduga-kangkangi-surat-bupati-dprd-banyuasin-1807/,https://gesahkita.com/2021/10/11/plasma-pt-huk-diduga-ada-yang-salah-warga-belum-menikmati-hasil/,https://www.myedisi.com/silampari/20190816/84494/pt-hamita-utama-karsa-diduga-terus-merugi,https://www.medianusantaranews.com/2021/10/06/h-slamet-somosentono-pt-hamita-harus-kembalikan-dana-pembiayaan-lahan-fiktik-kepada-petani/,https://www.youtube.com/watch?v=0JffzUk8l9E,,
Hamparan Masawit Bangun Persada,BEST Agro International,,Yes,,,Central Kalimantan,East Kotawaringin,Telawang,,Penyang,30/09/2020,https://sampit.prokal.co/read/news/25407-tagih-hasil-pansus-warga-blokade-jalan-perusahaan.html,https://detak.co/detail/berita/komisi-iv-dpr-apresiasi-penjelasan-gubernur-kalteng,https://news.mongabay.com/2020/06/indonesia-indigenous-farmers-palm-oil-jail-sentence-conflict-hmbp-best-group/,https://detak.co/detail/berita/komisi-iv-dpr-apresiasi-penjelasan-gubernur-kalteng,https://www.mongabay.co.id/2020/03/12/perjuangkan-tanah-yang-diklaim-perusahaan-sawit-tiga-warga-kotawaringin-timur-malah-ditahan/,https://suaranesia.co/jelang-hari-kesaktian-pancasila-aktivis-lingkungan-minta-sri-mulyani-periksa-pajak-best-agro/,https://kalteng.antaranews.com/berita/241131/dprd-seruyan-panggil-pt-hamparan-masawit-bangun-persada
Harapan Hibrida Kalbar 2,Union Sampoerna Triputra Persada,Yes,,Yes,,West Kalimantan,Ketapang,Manis Mata,,"Suak Burung
Batu Sedau
Seguling
Manis Mata",15/04/2018,https://chainreactionresearch.com/wp-content/uploads/2015/05/triputra-agro-persada-crr-report.pdf,http://indonesiasatu.co/detail/proses-pengadilan-cacat-hukum-japman-desak-bebaskan-marasyah,https://www.beritasatu.com/nasional/377553/petani-sawit-ketapang-korban-kriminalisasi-berharap-dibebaskan,https://majalah.tempo.co/read/hukum/148259/tuduhan-mencuri-di-lahan-sendiri?,https://pontianak.tribunnews.com/2018/04/16/jaga-kersama-dengan-perusahaan-bupati-ingatkan-petani-jangan-jual-sertifikat-kebun-sawit,,
Anugerah Makmur Sejati,Evershine & Everbright,Yes,,,,Central Sulawesi,Buol,Bukal,,Winangun,02/07/2019,https://suarapalu.com/petani-sawit-di-buol-mogok-kerja-dan-blokir-lahan-milik-pt-hip/,https://www.celebesta.com/2021/11/02/diduga-perusahaan-hardaya-inti-plantation-kriminalisasi-dua-petani-di-buol/,https://news.mongabay.com/2019/04/not-in-my-backyard-indonesian-official-fights-corrupt-palm-concession/,http://www.globalnewsnusantara.com/read/2018/11/17/3104/bupati-buol-hearing-p-t-hip-dan-transparansi-soal-mou/,https://sulteng.antaranews.com/berita/67288/warga-buol-demo-di-bpn-sulteng-minta-hgu-pt-hardaya-tidak-diperpanjang,https://twitter.com/ecosocrights/status/1452095805997731845,https://hariansiber.com/harga-tbs-dan-sertifikat-petani-buol-di-bahas-ulang-di-jakarta/
Henrison Inti Persada,Noble,,Yes,,,West Papua,Sorong,,,,01/08/2016,http://web.archive.org/web/20210731151947/https://pusaka.or.id/2016/08/kunjungan-kpk-ke-sorong-perusahaan-pt-hip-belum-menjalankan-kewajiban-sepenuhnya/,,,,,,
Anugerah Wattiendo - Kebun Gunung Intan,Jaya Agra Wattie,Yes,,Yes,,East Kalimantan,Berau,Segah,,,15/04/2017,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,https://sawitwatch.or.id/download/lain-lain/Perbudakan%20di%20Kebun%20SawitBerau.pdf,https://headlinekaltim.co/puluhan-buruh-geruduk-kantor-klk-group/,https://dprd.beraukab.go.id/artikel/hearing-mengenai-kerusakan-jalan-di-kec.-segah,https://berau.prokal.co/read/news/71607-lanjutkan-kemitraan-dengan-pt-hutan-hijau-mas.html,,
Indonusa Agromulia,Indonusa Group,,Yes,,,Jambi,East Tanjung Jabung,Geragai,,Pandan Sejahtera,15/06/2020,https://web.archive.org/web/20190708112754/http://jambiexpress.com/paper/2017/06/08/pt-iam-tidak-komitmen-koperasi-resa-jaya-boikot-aktivitas-perusahaan/,https://halojambi.id/index.php/mata-jambi/5036-m-kasim-jadi-tersangka-humas-pt-indonusa-angkat-bicara,https://www.mongabay.co.id/2020/11/30/sengketa-lahan-warga-transmigrasi-vs-perusahaan-sawit-indonusa-berlarut/,https://www.sorotnews.co.id/2020/06/15/tanggapan-pt-indonusa-agromulia-laporkan-kasim-ke-polisi/,,,
Arjuna Utama Sawit,GCCP Resources,,Yes,Yes,,West Kalimantan,Landak,,,,31/10/2018,https://pontianak.tribunnews.com/2016/12/05/petani-plasma-tuntut-pembagian-lahan-pt-ipm,https://pontianak.tribunnews.com/2018/10/31/hasil-mitra-tidak-jelas-petani-plasma-pt-ipm-tuntut-lahannya-dikembalikan,,,,,
Indriplant,Indofood Agri Resources,Yes,Yes,Yes,,Riau,Indragiri Hulu ,,,,19/03/2019,http://riaupos.co/196256-berita-komisi-iii-dprd-riau-janji-tuntaskan-aduan-masyarakat-inhu.html,https://elaeis.co/berita/baca/berlangsung-panas-dialog-soal-kebun-plasma-berakhir-deadlock,https://riau.harianhaluan.com/berita/pr-111090009/komisi-iii-fasilitasi-pertemuan-perusahaan-dan-lam-inhu,https://elaeis.co/berita/baca/tak-bangun-kebun-plasma-perusahaan-sawit-digeruduk-warga,,,
Arvena Sepakat,Incasi Raya Group,Yes,,,,West Papua,Sorong,,,,24/06/2021,https://awasmifee.potager.org/?p=887,https://eia-international.org/wp-content/uploads/Clear-Cut-Exploitation-Indonesian-version1.pdf,https://kliksajapapua.co/wakil-bupati-sorong-kebun-sawit-harus-beri-dampak-bagi-investasi-dan-rakyat/,,,,
